지역명, 기사제목, 기자이름, 날짜, 링크
청송,"청송도서관, 겨울방학 특강 운영",일간경북신문 - 김학봉기자,2023/02/05,http://www.kbsm.net/news/view.php?idx=380119
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/05,http://www.kbsm.net/news/view.php?idx=380118
청송,"윤경희 청송군수, 현장에서 즉문즉답으로 속 시원한 소통행정 펼쳐",일간경북신문 - 김학봉기자,2023/02/05,http://www.kbsm.net/news/view.php?idx=380117
청송,"청송교육지원청, 4대 폭력예방 통합교육 실시",일간경북신문 - 김학봉기자,2023/02/02,http://www.kbsm.net/news/view.php?idx=379960
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/02/02,http://www.kbsm.net/news/view.php?idx=379958
청송,"청송군, 올해 기본형 공익직불제 신청 접수",일간경북신문 - 김학봉기자,2023/02/02,http://www.kbsm.net/news/view.php?idx=379957
청송,"청송군, 전국 배드민턴 동계 전지훈련 유치...지역경제 활력",일간경북신문 - 김학봉기자,2023/02/02,http://www.kbsm.net/news/view.php?idx=379954
청송,"청송군, 농산물 직거래 활성화 앞장",일간경북신문 - 김학봉기자,2023/02/02,http://www.kbsm.net/news/view.php?idx=379950
청송,"청송군 8282민원처리 기동반, 주민불편 만능해결사 역할 ‘톡톡’",일간경북신문 - 김학봉기자,2023/02/01,http://www.kbsm.net/news/view.php?idx=379805
청송,"청송군, 홈페이지 메인화면 디자인 개편",일간경북신문 - 김학봉기자,2023/02/01,http://www.kbsm.net/news/view.php?idx=379792
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/01/31,http://www.kbsm.net/news/view.php?idx=379636
청송,"청송군다문화가족지원센터, 아이돌보미 신규 채용",일간경북신문 - 김학봉기자,2023/01/31,http://www.kbsm.net/news/view.php?idx=379635
청송,"청송군, 농기계임대사업 농기계 이론 및 실습 교육생 모집",일간경북신문 - 김학봉기자,2023/01/31,http://www.kbsm.net/news/view.php?idx=379634
청송,[동정] 윤경희 청송군수,일간경북신문 - 김학봉기자,2023/01/30,http://www.kbsm.net/news/view.php?idx=379517
영양,"오도창 군수, 양수발전소 영양군 유치 공식화 선언",일간경북신문 - 김학봉기자,2023/04/27,http://www.kbsm.net/news/view.php?idx=389708
영양,"영양군 수비면주민자치위, 농번기 농촌일손돕기 나서",일간경북신문 - 김학봉기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389533
영양,"울타리USA 김민혁 대표, 영양군 고향사랑기부금 기탁",일간경북신문 - 김학봉기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389531
영양,"영양군, 지역 보건사업 평가 ‘질병관리청장상’ 수상",일간경북신문 - 김학봉기자,2023/04/26,http://www.kbsm.net/news/view.php?idx=389530
영양,"영양군 귀농협회, 영양군인재육성장학금 기탁",일간경북신문 - 김학봉기자,2023/04/25,http://www.kbsm.net/news/view.php?idx=389400
영양,"영양군, 녹색출근길 캠페인 펼쳐",일간경북신문 - 김학봉기자,2023/04/25,http://www.kbsm.net/news/view.php?idx=389394
영양,'제18회 영양산나물축제' 바이크 홍보단 발대,일간경북신문 - 김학봉기자,2023/04/25,http://www.kbsm.net/news/view.php?idx=389333
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/24,http://www.kbsm.net/news/view.php?idx=389195
영양,"영양군보건소, 나 혼자 걷기 챌린지 운영",일간경북신문 - 김학봉기자,2023/04/24,http://www.kbsm.net/news/view.php?idx=389194
영양,"영양청우회, 다문화가정 주거환경개선 봉사",일간경북신문 - 김학봉기자,2023/04/24,http://www.kbsm.net/news/view.php?idx=389193
영양,청정 영양에서 반려동물과 함께 신나게 놀아요,일간경북신문 - 김학봉기자,2023/04/23,http://www.kbsm.net/news/view.php?idx=389057
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/23,http://www.kbsm.net/news/view.php?idx=388992
영양,"영양군 지사협, 취약계층에 긴급구호식품 ‘이머전시 푸드팩’ 전달",일간경북신문 - 김학봉기자,2023/04/23,http://www.kbsm.net/news/view.php?idx=388991
영양,"영양교육지원청, 장애학생 인권지원단 협의회 개최",일간경북신문 - 김학봉기자,2023/04/23,http://www.kbsm.net/news/view.php?idx=388943
영양,"영양군, 신규공무원 오리엔테이션 실시",일간경북신문 - 김학봉기자,2023/04/20,http://www.kbsm.net/news/view.php?idx=388800
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/20,http://www.kbsm.net/news/view.php?idx=388786
영양,"영양군 도시재생지원센터, 플리마켓 ‘별별마당’ 개최",일간경북신문 - 김학봉기자,2023/04/20,http://www.kbsm.net/news/view.php?idx=388784
영양,"영양군, 제61회 경북도민체육대회 참가...294명 규모",일간경북신문 - 김학봉기자,2023/04/20,http://www.kbsm.net/news/view.php?idx=388777
영양,"(재)영양군인재육성장학회, 2023년 장학심의회 개최",일간경북신문 - 김학봉기자,2023/04/19,http://www.kbsm.net/news/view.php?idx=388615
영양,'제18회 영양산나물축제' 5월 11일 개막,일간경북신문 - 김학봉기자,2023/04/19,http://www.kbsm.net/news/view.php?idx=388611
영양,"영양군, 산악인 엄홍길 초청 ‘4월 별빛아카데미’ 개최",일간경북신문 - 김학봉기자,2023/04/19,http://www.kbsm.net/news/view.php?idx=388589
영양,"박준로 영양부군수, ‘이심전심 통큰 톡톡’ 개최",일간경북신문 - 김학봉기자,2023/04/18,http://www.kbsm.net/news/view.php?idx=388459
영양,"영양고, '제61회 경북도민체육대회' 고등부 축구 우승",일간경북신문 - 김학봉기자,2023/04/18,http://www.kbsm.net/news/view.php?idx=388436
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/18,http://www.kbsm.net/news/view.php?idx=388429
영양,"영양 ""일월산에 산나물 뜯으러 오세요""",일간경북신문 - 김학봉기자,2023/04/18,http://www.kbsm.net/news/view.php?idx=388428
영양,"영양군, 상반기 농어민수당 지급",일간경북신문 - 김학봉기자,2023/04/17,http://www.kbsm.net/news/view.php?idx=388335
영양,"영양교육지원청, ‘2023 도전! 해달뫼 별따기 교육장 인증제’ 운영",일간경북신문 - 김학봉기자,2023/04/17,http://www.kbsm.net/news/view.php?idx=388296
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/17,http://www.kbsm.net/news/view.php?idx=388288
영양,"영양군, '제43회 장애인의 날 기념행사’ 개최",일간경북신문 - 김학봉기자,2023/04/15,http://www.kbsm.net/news/view.php?idx=388084
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/15,http://www.kbsm.net/news/view.php?idx=388081
영양,"영양군, 선바위관광지 개발사업 기본구상 용역 최종 보고",일간경북신문 - 김학봉기자,2023/04/15,http://www.kbsm.net/news/view.php?idx=388079
영양,‘제1회 영양산나물 가요제’ 5월 2일 개최,일간경북신문 - 김학봉기자,2023/04/15,http://www.kbsm.net/news/view.php?idx=388077
영양,"영양군, 제2기 민원 응대 군민평가위원 위촉",일간경북신문 - 김학봉기자,2023/04/13,http://www.kbsm.net/news/view.php?idx=387941
영양,"영양 검마산자연휴양림, 표고버섯 체험행사 프로그램 운영",일간경북신문 - 김학봉기자,2023/04/13,http://www.kbsm.net/news/view.php?idx=387940
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/13,http://www.kbsm.net/news/view.php?idx=387929
영양,"영양군 영양읍, ‘찾아가는 보건복지서비스’ 확대 추진",일간경북신문 - 김학봉기자,2023/04/13,http://www.kbsm.net/news/view.php?idx=387928
영양,박재서 민선2기 영양군 체육회장 취임식 가져,일간경북신문 - 김학봉기자,2023/04/13,http://www.kbsm.net/news/view.php?idx=387925
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/12,http://www.kbsm.net/news/view.php?idx=387791
영양,"영양군다문화가족지원센터, ‘다문화엄마학교’ 운영을 위한 업무협약 체결",일간경북신문 - 김학봉기자,2023/04/12,http://www.kbsm.net/news/view.php?idx=387788
영양,"성균관유도회 영양군지부, 영양군인재육성 장학금 기탁",일간경북신문 - 김학봉기자,2023/04/11,http://www.kbsm.net/news/view.php?idx=387561
영양,"영양군 도시재생지원센터-영양중·고, 지역발전 위한 업무협약 체결",일간경북신문 - 김학봉기자,2023/04/11,http://www.kbsm.net/news/view.php?idx=387560
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/10,http://www.kbsm.net/news/view.php?idx=387448
영양,"영양읍, ‘영양가득 饌’나눔 사업' 4년째 이어와",일간경북신문 - 김학봉기자,2023/04/10,http://www.kbsm.net/news/view.php?idx=387447
영양,"영양군농기센터, 과수 저온·서리피해 대응 만전",일간경북신문 - 김학봉기자,2023/04/10,http://www.kbsm.net/news/view.php?idx=387441
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/09,http://www.kbsm.net/news/view.php?idx=387283
영양,"영양군, 베트남 화방군에서 1차 계절근로자 입국",일간경북신문 - 김학봉기자,2023/04/09,http://www.kbsm.net/news/view.php?idx=387215
영양,"영양군, 제51회 보건의 날 기념식 개최",일간경북신문 - 김학봉기자,2023/04/06,http://www.kbsm.net/news/view.php?idx=387095
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/05,http://www.kbsm.net/news/view.php?idx=386923
영양,"영양군, 민원서비스 종합평가로 특별교부세 1억 5천만원 확보",일간경북신문 - 김학봉기자,2023/04/05,http://www.kbsm.net/news/view.php?idx=386921
영양,"영양군, 공원묘원 조성 타당성 연구용역 최종보고회",일간경북신문 - 김학봉기자,2023/04/05,http://www.kbsm.net/news/view.php?idx=386919
영양,"영양군지역사회보장협의체, 취약계층 긴급구호비지원 및 특화사업 진행",일간경북신문 - 김학봉기자,2023/04/04,http://www.kbsm.net/news/view.php?idx=386778
영양,"영양군, 4월 법인지방소득세 집중 신고·납부기간 운영",일간경북신문 - 김학봉기자,2023/04/04,http://www.kbsm.net/news/view.php?idx=386777
영양,[동정] 오도창 영양군수,일간경북신문 - 김학봉기자,2023/04/03,http://www.kbsm.net/news/view.php?idx=386628
