지역명, 기사제목, 기자이름, 날짜, 링크
대구,"섬개연, 대영합섬과 기술이전 계약 체결",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392693
대구,"한국사학진흥재단, 오는 30일 대구 행복기숙사 개관",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392692
대구,"aT, ‘국산밀데이’ 참여 단체급식소 모집",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392691
대구,"DGIST, 항암효과 가진 자연살해 세포치료제 개발",일간경북신문 - 김범수기자,4호,http://www.kbsm.net/news/view.php?idx=392690
대구,"임병헌 의원, ‘병역면탈 근절법’ 대표발의",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392660
대구,대구 '코로나19' 확진자 870명...사망 1명,일간경북신문 - 전수정기자,2023/05/23,http://www.kbsm.net/news/view.php?idx=392657
대구,"도로공사 대경본부·경북문화관광공사, 고속도로 이용·지역경제 활성화 업무협약",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392653
대구,[동정] 강은희 대구시교육감,일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392649
대구,"대구시, 말레이시아 조호바루시와 우호협력도시 협약",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392648
대구,"대구 달서구, 지역 최초 '상병수당 시범사업' 도입",일간경북신문 - 전수정기자,3호,http://www.kbsm.net/news/view.php?idx=392645
대구,"대구시, ‘골목상권 활력 지원사업’ 대상지 3곳 선정",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392642
대구,"대구 서구정신건강복지센터, 공생공사 프로그램 운영",일간경북신문 - 전수정기자,3호,http://www.kbsm.net/news/view.php?idx=392638
대구,"대구 동구, '성교육·성폭력 예방' 아동극 운영",일간경북신문 - 전수정기자,3호,http://www.kbsm.net/news/view.php?idx=392634
대구,"달성군, 금융복지연계·정신건강 사례관리 위한 역량강화 교육",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392631
대구,"대성에너지, '희망이 꽃 피는 날, 개발원의 봄' 행사 후원금 전달",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392625
대구,"대구 남구, 제7회 공룡을 그려보자 사생대회 개최",일간경북신문 - 전수정기자,3호,http://www.kbsm.net/news/view.php?idx=392623
대구,"진실화해위, 대구‧경북지역 형무소 재소자 희생 사건 유해발굴",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392618
대구,"이창효 개인전, 유년의 행복한 기억 품은 ‘자두’",일간경북신문 - 선애경기자,3호,http://www.kbsm.net/news/view.php?idx=392615
대구,"대구 수성패밀리파크, 인라인스케이트장 전면 무료 개방",일간경북신문 - 전수정기자,3호,http://www.kbsm.net/news/view.php?idx=392614
대구,"도로공사, 모바일 앱으로 모범 화물운전자 120명 선발",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392608
대구,"대구시, 제11회 청소년문화축제 개최",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392605
대구,‘대구우수식품’ 2호 인증 기업·제품 모집,일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392604
대구,"계명문화대, 전국 카바디선수권대회 여대부 '2연패'",일간경북신문 - 박정수기자,3호,http://www.kbsm.net/news/view.php?idx=392603
대구,'떡볶이 성지' 대구서 '떡볶이 페스티벌' 열린다,일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392601
대구,"영진전문대, 외식창업 키워드림 아카데미 현장교육",일간경북신문 - 박정수기자,3호,http://www.kbsm.net/news/view.php?idx=392600
대구,"영남대병원 박미영 교수, 대한신경과학회 제42대 회장 선출",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392597
대구,"경북농관원, 중국산 고사리·도라지 국산으로 속여 판 업체 대표 구속",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392595
대구,"계명문화대 LINC3.0사업단, 지역 산업체 재직자 '맞춤형 교육'",일간경북신문 - 박정수기자,3호,http://www.kbsm.net/news/view.php?idx=392590
대구,"대구교육청, 글로벌 한복 사진 공모전 '큰 호응'",일간경북신문 - 박정수기자,3호,http://www.kbsm.net/news/view.php?idx=392572
대구,달리던 트럭서 돼지 떨어져 도로 활보...인명피해 없어,일간경북신문 - 전수정기자,2023/05/23,http://www.kbsm.net/news/view.php?idx=392567
대구,"이상길 엑스코 사장, 싱가포르 엑스포와 전시컨벤션센터 운영 방안 논의",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392565
대구,"DIMF, '스미소니언 재단'과 손잡고 한국 창작 뮤지컬 제작한다",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392559
대구,"한국뇌연구원, 미래 뇌과학자 양성 프로그램 개시",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392544
대구,"대구교통공사, '인스타그램 릴스 공모전' 연다",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392542
대구,"aT 농수산식품유통교육원, ‘신혁명 푸드테크 과정’ 교육생 모집",일간경북신문 - 김범수기자,3호,http://www.kbsm.net/news/view.php?idx=392540
